Short,Code_snippet
64,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|ar|fordkomb|axkonf|riktningh
65,T10061|anttrp|anttrpki|kordakm|kordakmki|trparbete|trparbeteki|ar|kortyp|riktningh|riktningu|trpavst3
66,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbeteki|ar|fordkomb|axkonf|riktningh
67,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|trparbeteki|ar|kortyp|riktningh|riktningu|trpavst3
68,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|ar|kortyp|riktningh|varugrupp
69,T10061|alan|ar|kortyp|plan|riktningh
70,T10061|ar|kortyp|plandgrp|riktningh|riktningu|varugrupp
71,T10061|godsm|godsmki|aregion|ar|kortyp|plandgrp|pland|riktningh|riktningu
72,T10061|godsm|godsmki|alandgrp|aland|ar|kortyp|pregion|riktningh|riktningu
73,T10061|anttrp|anttrpki|godsm|godsmki|kordakm|kordakmki|ar|kortyp|riktningh|riktningu|trpavst3
74,T10061|godsm|godsmki|trparbeteki|aregion|ar|kortyp|plandgrp|pland|riktningh|riktningu
75,T10061|alandgrp|aland|ar|kortyp|pregion|riktningh|riktningu
76,T10061|godsmki|alandgrp|aland|ar|kortyp|pregion|riktningh|riktningu
77,T10061|anttrp|anttrpki|kordakm|kordakmki|ar|kortyp|riktningh
78,T10061|godsm|godsmki|trparbete|trparbeteki|ar|kortyp|riktningh|godstyp
