Short;Description;Code_snippet
16;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Bransch (SNI2007)|undergrupp av bransch (SNI2007);T1102|varde|vardeki|vikt|viktki|ar|avgank|bransch|b2
17;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från län;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|flan
18;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från län;T1102|varde|vardeki|vikt|viktki|ar|avgank|flan
19;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region;T1102|varde|vardeki|vikt|viktki|ar|avgank|freg
20;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region|Från land;T1102|varde|vardeki|vikt|viktki|ar|avgank|freg|fland
21;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region|Mottagande NUTS II region;T1102|varde|vardeki|vikt|viktki|ar|avgank|freg|mottr
22;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Lasttyp;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|lasttyp
23;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Lasttyp;T1102|varde|vardeki|vikt|viktki|ar|avgank|lasttyp
24;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagande NUTS II region;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|mottr
25;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagande NUTS II region;T1102|varde|vardeki|vikt|viktki|ar|avgank|mottr
26;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Från region|Från land|Mottagande NUTS II region;T1102|varde|vardeki|vikt|viktki|ar|avgank|freg|fland|mottr
27;Varuflöden|Andel sändningar i %|95% konfidensintervall för andel sändningar i %|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Antal sändningar i 1000-tal|95% konfidensintervall för antal sändningar i 1000-tal|Genomsnittlig godsvikt i kg|95% konfidensintervall för genomsnittlig godsvikt i kg|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Varugrupp (NST);T1102|andelsand|andelsandki|andelv|andelva|andelvaki|andelvki|antalsan|antalsanki|genomkg|genomkgki|varde|vardeki|vikt|viktki|ar|avgank|nst
28;Varuflöden|Andel sändningar i %|95% konfidensintervall för andel sändningar i %|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Antal sändningar i 1000-tal|95% konfidensintervall för antal sändningar i 1000-tal|Genomsnittlig godsvikt i kg|95% konfidensintervall för genomsnittlig godsvikt i kg|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Varugrupp (NST)|Varuslag;T1102|andelsand|andelsandki|andelv|andelva|andelvaki|andelvki|antalsan|antalsanki|genomkg|genomkgki|varde|vardeki|vikt|viktki|ar|avgank|nst|nst2
29;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|Antal anställda|År|Avgående/Ankommande|Riktning;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|anstallda|ar|avgank|riktning
30;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Riktning;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|avsr|riktning
31;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Riktning;T1102|varde|vardeki|vikt|viktki|ar|avgank|avsr|riktning
32;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Till region|Till land|Riktning;T1102|varde|vardeki|vikt|viktki|ar|avgank|avsr|treg|tland|riktning
33;Varuflöden|Värde i miljoner kr|Vikt i 1000 ton|År|Avgående/Ankommande|Från län|Till län|Riktning;T1102|varde|vikt|ar|avgank|flan|tlan|riktning
34;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Lasttyp|Riktning;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|lasttyp|riktning
35;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagarland/-region|Riktning;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|mottland|riktning
36;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Mottagarland/-region|Riktning;T1102|varde|vardeki|vikt|viktki|ar|avgank|mottland|riktning
37;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Varugrupp (NST);T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|nst
38;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Varugrupp (NST)|Varuslag;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|nst|nst2
39;Varuflöden|Värde i miljoner kr|Vikt i 1000 ton|År|Avgående/Ankommande|Till län|Riktning;T1102|varde|vikt|ar|avgank|tlan|riktning
40;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Huvudsakligt trafikslag;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|main
41;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Riktning|Huvudsakligt trafikslag|Trafikslag;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|riktning|main|sub
42;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Till region|Riktning;T1102|varde|vardeki|vikt|viktki|ar|avgank|treg|riktning
43;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Avsändande NUTS II region|Till region|Riktning;T1102|varde|vardeki|vikt|viktki|ar|avgank|avsr|treg|riktning
44;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Till region|Till land|Riktning;T1102|varde|vardeki|vikt|viktki|ar|avgank|treg|tland|riktning
45;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Startvägregion|Riktning;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|stvagr|riktning
46;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Huvudsakligt trafikslag;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|main
47;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Huvudsakligt trafikslag|Trafikslag;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|main|sub
48;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Startvägregion;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|stvagr
49;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Startvägregion;T1102|varde|vardeki|vikt|viktki|ar|avgank|stvagr
50;Varuflöden|Andel vikt i %|Andel värde i %|95% konfidensintervall för andel värde i %|95% konfidensintervall för andel vikt|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Slutvägregion;T1102|andelv|andelva|andelvaki|andelvki|varde|vardeki|vikt|viktki|ar|avgank|slvagr
51;Varuflöden|Värde i miljoner kr|95% konfidensintervall för värde i miljoner kr|Vikt i 1000 ton|95% konfidensintervall för vikt i 1000 ton|År|Avgående/Ankommande|Slutvägregion;T1102|varde|vardeki|vikt|viktki|ar|avgank|slvagr
